Date,Close
2023-11-24,43769.1015625
2023-11-28,43880.94921875
2023-11-29,44566.44921875
2023-11-30,44481.75
2023-12-01,44814.19921875
2023-12-04,46431.3984375
2023-12-05,47012.25
2023-12-06,46834.55078125
2023-12-07,46841.3984375
2023-12-08,47262.0
2023-12-11,47314.25
2023-12-12,47097.55078125
2023-12-13,47092.25
2023-12-14,47732.30078125
2023-12-15,48143.55078125
2023-12-18,47867.69921875
2023-12-19,47870.8984375
2023-12-20,47445.30078125
2023-12-21,47840.1484375
2023-12-22,47491.8515625
2023-12-26,47724.8515625
2023-12-27,48282.19921875
2023-12-28,48508.55078125
2023-12-29,48292.25
2024-01-02,47761.6484375
2024-01-03,47704.94921875
2024-01-04,48195.8515625
2024-01-05,48159.0
2024-01-08,47450.25
2024-01-09,47242.6484375
2024-01-10,47360.8515625
2024-01-11,47438.3515625
2024-01-12,47709.80078125
2024-01-15,48158.30078125
2024-01-16,48125.1015625
2024-01-17,46064.44921875
2024-01-18,45713.55078125
2024-01-19,45701.1484375
2024-01-23,45015.05078125
2024-01-24,45082.3984375
2024-01-25,44866.1484375
2024-01-29,45442.3515625
2024-01-30,45367.75
2024-01-31,45996.80078125
2024-02-01,46188.6484375
2024-02-02,45970.94921875
2024-02-05,45825.55078125
2024-02-06,45690.80078125
2024-02-07,45818.5
2024-02-08,45012.0
2024-02-09,45634.55078125
2024-02-12,44882.25
2024-02-13,45502.3984375
2024-02-14,45908.30078125
2024-02-15,46218.8984375
2024-02-16,46384.8515625
2024-02-20,47094.19921875
2024-02-21,47019.69921875
